business_name,category,city,address,phone,source
Business_1,Hospital,Delhi,Address 1,9817580229,Sulekha
Business_2,Restaurant,Mumbai,Address 2,9876392335,Sulekha
Business_3,Gym,Delhi,Address 3,9890101046,Justdial
Business_4,Hospital,Mumbai,Address 4,9824941960,Justdial
Business_5,Cafe,Mumbai,Address 5,9869294440,Google
Business_6,School,Mumbai,Address 6,9814506876,Justdial
Business_7,Gym,Delhi,Address 7,9849989757,Justdial
Business_8,Cafe,Bangalore,Address 8,9893028901,Justdial
Business_9,Restaurant,Hyderabad,Address 9,9846104251,Google
Business_10,Cafe,Delhi,Address 10,9857021260,Google
Business_11,Hospital,Hyderabad,Address 11,9896636510,Google
Business_12,Gym,Bangalore,Address 12,9827207535,Sulekha
Business_13,School,Pune,Address 13,9831684682,Google
Business_14,Restaurant,Bangalore,Address 14,9860577105,Sulekha
Business_15,Gym,Pune,Address 15,9890616296,Justdial
Business_16,Restaurant,Pune,Address 16,9843160015,Google
Business_17,Restaurant,Bangalore,Address 17,9861514459,Google
Business_18,Gym,Delhi,Address 18,9824897851,Sulekha
Business_19,Gym,Mumbai,Address 19,9819454483,Justdial
Business_20,School,Pune,Address 20,9882947464,Google
Business_21,Gym,Hyderabad,Address 21,9817505601,Google
Business_22,Hospital,Bangalore,Address 22,9847379294,Google
Business_23,Restaurant,Pune,Address 23,9828752048,Google
Business_24,Restaurant,Mumbai,Address 24,9812948199,Justdial
Business_25,Hospital,Pune,Address 25,9863954718,Google
Business_26,Gym,Hyderabad,Address 26,9878534393,Google
Business_27,Restaurant,Mumbai,Address 27,9849366252,Justdial
Business_28,School,Hyderabad,Address 28,9848836244,Google
Business_29,School,Mumbai,Address 29,9886863801,Sulekha
Business_30,Gym,Pune,Address 30,9834055492,Justdial
Business_31,Cafe,Delhi,Address 31,9889386544,Justdial
Business_32,Hospital,Hyderabad,Address 32,9852057196,Justdial
Business_33,Gym,Hyderabad,Address 33,9830837195,Google
Business_34,Gym,Hyderabad,Address 34,9891407088,Justdial
Business_35,Restaurant,Hyderabad,Address 35,9899541942,Sulekha
Business_36,Restaurant,Delhi,Address 36,9817602367,Sulekha
Business_37,Cafe,Delhi,Address 37,9868289139,Sulekha
Business_38,School,Delhi,Address 38,9847921895,Sulekha
Business_39,Gym,Pune,Address 39,9884708005,Justdial
Business_40,Hospital,Hyderabad,Address 40,9860772416,Justdial
Business_41,School,Delhi,Address 41,9898704012,Sulekha
Business_42,School,Pune,Address 42,9891912182,Google
Business_43,Gym,Hyderabad,Address 43,9866648519,Google
Business_44,Hospital,Delhi,Address 44,9814577814,Sulekha
Business_45,School,Bangalore,Address 45,9859921670,Sulekha
Business_46,School,Bangalore,Address 46,9853797122,Justdial
Business_47,Hospital,Delhi,Address 47,9890258565,Google
Business_48,Cafe,Mumbai,Address 48,9825213733,Justdial
Business_49,Gym,Delhi,Address 49,9840429240,Justdial
Business_50,Gym,Bangalore,Address 50,9822978532,Google
Business_51,School,Delhi,Address 51,9879480582,Sulekha
Business_52,Restaurant,Bangalore,Address 52,9849716280,Sulekha
Business_53,Restaurant,Pune,Address 53,9878491175,Justdial
Business_54,Restaurant,Bangalore,Address 54,9872481456,Google
Business_55,Cafe,Mumbai,Address 55,9850639012,Sulekha
Business_56,Gym,Bangalore,Address 56,9841387972,Google
Business_57,Restaurant,Hyderabad,Address 57,9870577744,Google
Business_58,Hospital,Delhi,Address 58,9897398916,Justdial
Business_59,Hospital,Hyderabad,Address 59,9810072300,Google
Business_60,Hospital,Delhi,Address 60,9875763848,Justdial
Business_61,Cafe,Bangalore,Address 61,9856936419,Sulekha
Business_62,Cafe,Pune,Address 62,9816423699,Sulekha
Business_63,School,Pune,Address 63,9822452523,Google
Business_64,Cafe,Hyderabad,Address 64,9854037201,Sulekha
Business_65,Cafe,Mumbai,Address 65,9885648223,Google
Business_66,Cafe,Mumbai,Address 66,9860204377,Google
Business_67,Gym,Hyderabad,Address 67,9830175166,Google
Business_68,Cafe,Delhi,Address 68,9868433329,Justdial
Business_69,Cafe,Hyderabad,Address 69,9849872485,Sulekha
Business_70,Cafe,Pune,Address 70,9860312802,Google
Business_71,Gym,Bangalore,Address 71,9885270952,Sulekha
Business_72,Gym,Hyderabad,Address 72,9825171975,Sulekha
Business_73,Restaurant,Bangalore,Address 73,9894923252,Justdial
Business_74,Restaurant,Hyderabad,Address 74,9887771774,Sulekha
Business_75,School,Delhi,Address 75,9876659200,Google
Business_76,Hospital,Delhi,Address 76,9811023816,Sulekha
Business_77,Hospital,Pune,Address 77,9884352657,Sulekha
Business_78,School,Mumbai,Address 78,9849655221,Sulekha
Business_79,Gym,Hyderabad,Address 79,9817375990,Sulekha
Business_80,Restaurant,Hyderabad,Address 80,9849861091,Justdial
Business_81,Hospital,Pune,Address 81,9866689123,Google
Business_82,Cafe,Pune,Address 82,9823049676,Sulekha
Business_83,Gym,Hyderabad,Address 83,9876272650,Sulekha
Business_84,Gym,Pune,Address 84,9823081693,Sulekha
Business_85,Restaurant,Mumbai,Address 85,9812714412,Sulekha
Business_86,Hospital,Bangalore,Address 86,9861047657,Justdial
Business_87,Gym,Mumbai,Address 87,9825503491,Google
Business_88,Hospital,Hyderabad,Address 88,9828828023,Justdial
Business_89,Hospital,Hyderabad,Address 89,9852991763,Justdial
Business_90,Gym,Bangalore,Address 90,9828948503,Sulekha
Business_91,Hospital,Delhi,Address 91,9822225240,Google
Business_92,School,Pune,Address 92,9879910038,Justdial
Business_93,Restaurant,Mumbai,Address 93,9838727725,Google
Business_94,Cafe,Hyderabad,Address 94,9858795101,Sulekha
Business_95,Gym,Delhi,Address 95,9887380327,Justdial
Business_96,School,Pune,Address 96,9851488829,Google
Business_97,Hospital,Hyderabad,Address 97,9813756952,Google
Business_98,School,Mumbai,Address 98,9813093725,Sulekha
Business_99,Restaurant,Bangalore,Address 99,9822392444,Google
Business_100,Gym,Bangalore,Address 100,9890598426,Google
Business_101,Restaurant,Bangalore,Address 101,9877734099,Sulekha
Business_102,School,Bangalore,Address 102,9876989501,Sulekha
Business_103,Hospital,Hyderabad,Address 103,9899468599,Google
Business_104,Cafe,Bangalore,Address 104,9845736748,Sulekha
Business_105,Restaurant,Hyderabad,Address 105,9899558982,Justdial
Business_106,Gym,Mumbai,Address 106,9843506998,Justdial
Business_107,Cafe,Bangalore,Address 107,9838550615,Justdial
Business_108,Gym,Pune,Address 108,9862628797,Justdial
Business_109,Restaurant,Mumbai,Address 109,9816229787,Sulekha
Business_110,Gym,Delhi,Address 110,9814131961,Sulekha
Business_111,Restaurant,Pune,Address 111,9858654043,Google
Business_112,School,Pune,Address 112,9818606992,Google
Business_113,Hospital,Delhi,Address 113,9862961759,Justdial
Business_114,Restaurant,Bangalore,Address 114,9853838261,Justdial
Business_115,Cafe,Delhi,Address 115,9894045798,Justdial
Business_116,School,Pune,Address 116,9869008820,Justdial
Business_117,Restaurant,Mumbai,Address 117,9851809755,Justdial
Business_118,Cafe,Bangalore,Address 118,9892349955,Sulekha
Business_119,Restaurant,Pune,Address 119,9856978775,Sulekha
Business_120,Restaurant,Hyderabad,Address 120,9854678758,Justdial
Business_121,School,Bangalore,Address 121,9835769751,Sulekha
Business_122,School,Delhi,Address 122,9818539966,Sulekha
Business_123,Gym,Hyderabad,Address 123,9825843109,Sulekha
Business_124,Cafe,Pune,Address 124,9854874285,Justdial
Business_125,Cafe,Hyderabad,Address 125,9845258340,Google
Business_126,School,Mumbai,Address 126,9820783553,Google
Business_127,School,Bangalore,Address 127,9897792466,Google
Business_128,Cafe,Hyderabad,Address 128,9840200260,Sulekha
Business_129,Cafe,Hyderabad,Address 129,9868053131,Google
Business_130,Restaurant,Delhi,Address 130,9864298069,Google
Business_131,Cafe,Delhi,Address 131,9871860670,Google
Business_132,Gym,Pune,Address 132,9873500173,Google
Business_133,Hospital,Delhi,Address 133,9825210999,Justdial
Business_134,School,Hyderabad,Address 134,9810965306,Google
Business_135,Hospital,Mumbai,Address 135,9823343132,Sulekha
Business_136,Restaurant,Hyderabad,Address 136,9831576554,Sulekha
Business_137,School,Pune,Address 137,9819171300,Justdial
